PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2022-01-04,7,8,13,20,25,26,48,36
2022-01-07,4,5,31,39,42,45,50,11
2022-01-11,1,3,24,25,27,36,47,12
2022-01-14,2,4,7,10,14,21,34,26
2022-01-18,2,15,25,28,30,35,38,31
2022-01-21,10,14,21,26,28,36,50,41
2022-01-25,11,13,18,20,23,30,40,37
2022-01-28,3,7,8,10,34,43,47,16
2022-02-01,9,14,24,26,29,39,49,42
2022-02-04,5,15,19,22,37,46,47,1
2022-02-08,16,29,32,34,38,39,47,18
2022-02-11,1,10,12,30,33,34,36,4
2022-02-15,19,26,28,36,40,42,48,6
2022-02-18,2,3,8,11,12,37,49,36
2022-02-22,3,13,26,27,28,36,45,50
2022-02-25,2,4,17,28,35,44,46,5
2022-03-01,5,6,28,36,40,46,50,27
2022-03-04,2,4,14,18,24,46,47,23
2022-03-08,10,12,13,18,25,26,37,39
2022-03-11,5,7,12,22,28,43,47,1
2022-03-15,3,7,12,17,23,38,40,27
2022-03-18,5,7,12,18,26,29,46,25
2022-03-22,14,16,20,26,33,36,48,1
2022-03-25,3,7,16,18,27,32,37,17
2022-03-29,7,17,32,34,39,45,47,42
2022-04-01,7,10,18,29,38,43,50,41
2022-04-05,14,24,34,39,43,48,50,20
2022-04-08,1,2,14,15,21,26,29,4
2022-04-12,3,5,7,19,32,34,50,25
2022-04-15,1,6,18,21,30,32,37,35
2022-04-19,1,6,10,27,42,45,50,43
2022-04-22,13,14,23,30,34,36,42,33
2022-04-26,3,10,15,31,35,38,42,22
2022-04-29,8,9,19,32,37,46,48,45
2022-05-03,6,11,22,24,27,29,33,31
2022-05-06,3,6,11,18,19,28,41,26
2022-05-10,6,15,18,19,20,27,28,24
2022-05-13,2,22,37,38,39,42,47,30
2022-05-17,10,35,38,40,45,47,48,23
2022-05-20,5,6,20,29,42,44,47,14
2022-05-24,12,26,30,31,35,39,45,22
2022-05-27,4,9,21,22,27,31,34,5
2022-05-31,6,13,23,27,35,44,50,37
2022-06-03,2,16,17,21,38,43,45,42
2022-06-07,6,13,17,20,28,36,44,31
2022-06-10,8,14,16,17,19,22,24,23
2022-06-14,11,17,18,25,36,41,50,34
2022-06-17,1,10,12,21,30,39,40,38
2022-06-21,2,4,5,22,32,40,50,43
2022-06-24,3,9,17,19,20,44,50,28
2022-06-28,8,19,22,41,42,46,47,10
2022-07-01,1,11,13,14,25,36,47,50
2022-07-05,12,29,33,35,38,41,46,13
2022-07-08,7,12,14,18,46,47,49,19
2022-07-12,8,11,15,16,26,29,40,37
2022-07-15,4,7,12,18,29,47,49,48
2022-07-19,6,9,17,19,31,34,46,4
2022-07-22,1,9,19,34,37,39,49,6
2022-07-26,3,8,9,15,21,27,31,33
2022-07-29,7,14,17,18,19,23,41,16
2022-08-02,4,5,15,18,22,28,32,19
2022-08-05,7,16,19,33,36,48,49,5
2022-08-09,16,19,25,26,27,33,45,38
2022-08-12,4,10,28,36,40,44,47,19
2022-08-16,1,2,9,21,32,33,43,36
2022-08-19,5,20,26,33,35,46,48,17
2022-08-23,9,13,14,19,37,43,50,4
2022-08-26,3,11,22,26,29,46,48,28
2022-08-30,5,8,12,23,39,41,48,50
2022-09-02,8,17,21,31,34,37,39,7
2022-09-06,16,22,28,30,41,46,47,10
2022-09-09,1,2,15,18,29,32,36,9
2022-09-13,9,10,14,32,35,36,46,47
2022-09-16,2,13,24,34,39,40,46,23
2022-09-20,9,10,11,20,24,31,48,36
2022-09-23,15,17,21,24,28,32,43,27
2022-09-27,10,12,13,26,29,39,46,23
2022-09-30,9,14,36,37,38,40,48,26
2022-10-04,10,18,21,22,37,40,46,25
2022-10-07,7,23,28,31,32,39,40,2
2022-10-11,3,19,33,36,39,40,42,44
2022-10-14,2,24,27,31,40,43,46,13
2022-10-18,12,14,23,25,39,40,44,24
2022-10-21,1,9,25,35,41,43,50,40
2022-10-25,3,6,19,23,26,28,43,46
2022-10-28,12,17,29,30,38,40,50,16
2022-11-01,2,23,27,34,43,46,49,44
2022-11-04,4,8,25,27,32,33,34,16
2022-11-08,4,7,14,18,26,40,42,12
2022-11-11,5,23,34,35,46,47,50,10
2022-11-15,9,12,13,22,25,35,47,24
2022-11-18,3,5,11,17,26,42,49,27
2022-11-22,2,10,12,18,19,21,34,33
2022-11-25,3,6,7,10,25,30,37,9
2022-11-29,1,7,8,19,32,38,39,47
2022-12-02,4,9,14,18,24,30,45,3
2022-12-06,1,2,3,14,17,19,41,30
2022-12-09,2,18,20,22,34,43,48,7
2022-12-13,12,13,14,31,35,39,50,48
2022-12-16,6,22,25,42,43,45,48,47
2022-12-20,3,8,9,20,22,36,50,25
2022-12-23,7,17,20,22,31,36,48,34
2022-12-27,5,6,13,16,31,32,35,36
2022-12-30,6,26,32,37,38,39,46,7
